               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08392,            0.026018,                   0,          0.00047009,            0.069708,          0.00025151,          6.2857e-05,            0.065378,            0.055419,                   0,            0.070349,           0.0032946,           0.0032946
                   1,            0.061303,            0.016795,                   0,             0.10584,             0.14195,            0.047956,           0.0095353,            0.052786,            0.048668,                   0,            0.040327,            0.006606,            0.006606
                   2,            0.053714,            0.013445,                   0,             0.36074,             0.48923,             0.33623,            0.097623,            0.046393,            0.045467,                   0,            0.010283,           0.0098955,           0.0098955
                   3,            0.047901,            0.012295,                   0,             0.45729,             0.62261,             0.46526,             0.15447,            0.042314,            0.044742,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.041562,            0.011721,                   0,             0.67767,             0.65816,             0.66025,             0.23104,            0.035176,            0.039169,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.03909,            0.010891,                   0,             0.64567,             0.62991,             0.58832,             0.16073,            0.038245,            0.037029,                   0,            0.009868,            0.009868,            0.009868
                   6,             0.03709,            0.010442,                   0,             0.79652,             0.74525,             0.79415,             0.30414,            0.031662,            0.034277,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.034934,            0.010329,                   0,             0.80115,             0.76553,             0.78756,             0.31603,            0.030114,            0.033303,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.034573,           0.0099272,                   0,             0.81282,              0.7782,             0.81259,             0.28789,            0.030198,            0.031889,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.033856,           0.0095632,                   0,             0.76538,             0.75032,             0.74868,               0.261,            0.032222,            0.030448,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.032836,           0.0092757,                   0,             0.81886,             0.76933,              0.8145,             0.33315,            0.028593,            0.030904,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.032507,           0.0089867,                   0,             0.79818,              0.7744,             0.79364,             0.32395,            0.028004,            0.029564,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.031815,           0.0090799,                   0,             0.84242,             0.77243,             0.81041,             0.33155,            0.027545,            0.029592,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.031712,            0.008923,                   0,             0.84849,             0.79495,             0.85222,              0.3449,            0.027824,            0.029342,                   0,            0.009604,            0.009604,            0.009604
                  14,              0.0306,           0.0087296,                   0,             0.85197,             0.79594,             0.82869,             0.35511,            0.027607,            0.029346,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.030764,           0.0088134,                   0,             0.85789,              0.8034,              0.8618,             0.35101,            0.028561,            0.029006,                   0,            0.009538,            0.009538,            0.009538
                  16,             0.03121,           0.0086656,                   0,             0.84163,             0.81876,             0.85623,             0.36415,            0.026915,            0.028283,                   0,            0.009505,            0.009505,            0.009505
                  17,             0.03024,           0.0086126,                   0,              0.8714,             0.81876,             0.86264,               0.365,            0.026851,            0.029163,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.029798,           0.0083723,                   0,             0.86461,             0.79214,             0.83533,             0.36465,            0.027452,            0.027657,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.030043,           0.0085202,                   0,             0.87696,             0.81242,             0.86693,             0.36596,               0.027,             0.02787,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.030157,           0.0085621,                   0,             0.87419,             0.81901,             0.87927,             0.37879,            0.026288,            0.027738,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.029105,            0.008292,                   0,             0.87561,              0.8251,             0.86663,             0.37806,             0.02666,             0.02813,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.030254,           0.0082682,                   0,             0.85837,             0.82962,             0.86326,              0.3627,            0.026802,            0.027856,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.029051,           0.0082381,                   0,             0.84553,             0.82558,             0.84762,             0.37738,            0.026936,            0.027199,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.029006,           0.0080496,                   0,             0.85818,             0.84362,             0.85907,             0.38174,            0.026077,            0.027258,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.028597,           0.0080367,                   0,             0.87778,              0.8327,             0.87647,             0.38924,            0.026148,            0.026586,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.029246,           0.0082142,                   0,             0.86873,             0.84284,             0.86657,             0.38442,            0.026265,            0.027297,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.028465,            0.008149,                   0,             0.88591,             0.82383,             0.87289,             0.38563,            0.026226,            0.027344,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.028861,           0.0082068,                   0,             0.87714,              0.8251,              0.8705,             0.39568,            0.025205,            0.027662,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.028321,           0.0080312,                   0,             0.88294,             0.85425,             0.89645,             0.39592,            0.025753,            0.026572,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.028487,           0.0081198,                   0,             0.86707,             0.80735,              0.8576,             0.38588,            0.025678,             0.02805,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.028057,           0.0081994,                   0,             0.85995,             0.85678,             0.88628,             0.39115,            0.026162,            0.027053,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.028003,           0.0078216,                   0,             0.88206,             0.83143,             0.88788,             0.39463,            0.025648,            0.026433,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.027865,            0.008095,                   0,              0.8861,             0.84537,             0.88956,             0.39579,             0.02563,            0.026218,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.027899,           0.0079026,                   0,             0.84479,             0.82636,             0.85486,             0.37823,            0.026256,            0.026746,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.027689,           0.0078605,                   0,             0.88414,             0.83177,             0.87158,             0.39162,            0.025255,            0.026385,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.027426,           0.0079267,                   0,              0.8842,             0.85551,              0.8927,             0.40827,            0.025349,            0.026031,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.027506,           0.0079347,                   0,             0.87988,             0.85171,             0.88405,             0.40328,            0.025508,            0.027118,                   0,            0.008812,            0.008812,            0.008812
                  38,              0.0285,           0.0077291,                   0,             0.88026,             0.84664,             0.88207,             0.39341,            0.025445,             0.02688,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.027875,           0.0079438,                   0,             0.86113,             0.85805,             0.88099,             0.38997,            0.025948,             0.02676,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.027303,           0.0077192,                   0,              0.8623,             0.84132,             0.87165,             0.40269,            0.025308,              0.0263,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.027494,           0.0078139,                   0,             0.86074,             0.84605,             0.86868,             0.39543,            0.025283,            0.026779,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.027542,           0.0078292,                   0,             0.86277,             0.81622,             0.85178,             0.38142,            0.025783,            0.027132,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.026823,           0.0077667,                   0,             0.87945,             0.84411,             0.88561,             0.39981,            0.025384,            0.026956,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.027329,           0.0077691,                   0,              0.8878,             0.83239,             0.88031,             0.39927,            0.025248,            0.026454,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.026899,           0.0077758,                   0,             0.87982,             0.85678,             0.88284,             0.40507,            0.024741,            0.026038,                   0,            0.008548,            0.008548,            0.008548
                  46,             0.02647,           0.0075682,                   0,              0.8895,             0.83662,             0.88435,             0.39695,            0.024977,            0.026892,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.026931,           0.0075701,                   0,              0.8694,              0.8251,             0.86496,              0.3959,             0.02524,            0.026795,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.027161,           0.0076303,                   0,             0.88143,             0.83143,              0.8744,              0.4013,            0.025221,            0.026333,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.026223,           0.0075295,                   0,             0.89672,             0.82636,             0.88606,             0.41393,            0.025049,            0.025929,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.026883,           0.0076244,                   0,             0.90105,             0.83093,             0.89128,             0.40973,            0.024719,            0.025866,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.026542,           0.0076869,                   0,             0.86114,             0.84791,             0.86589,             0.40118,            0.024743,            0.026812,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.026429,           0.0074973,                   0,             0.85478,             0.84301,             0.86763,             0.40327,            0.024395,            0.026326,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.026549,           0.0074912,                   0,             0.88439,             0.85678,             0.89561,             0.40994,            0.025251,            0.025874,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.026186,           0.0075551,                   0,             0.88603,             0.86708,             0.90282,             0.42515,            0.024805,            0.026129,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.026831,           0.0076005,                   0,             0.87593,              0.8411,             0.88522,             0.40434,            0.025456,            0.026195,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.026253,           0.0075982,                   0,             0.89311,             0.83656,              0.8895,             0.41827,            0.024531,            0.025748,                   0,            0.008185,            0.008185,            0.008185
                  57,             0.02603,           0.0073496,                   0,              0.9095,             0.85171,             0.89366,             0.41756,            0.024868,            0.025571,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.026182,           0.0075499,                   0,             0.88781,             0.84249,             0.88774,             0.40966,            0.024474,            0.025925,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.025872,           0.0075595,                   0,             0.89511,             0.84361,             0.88966,             0.41041,            0.024965,            0.026121,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.025807,           0.0075254,                   0,             0.87574,             0.85805,             0.88579,             0.42594,            0.024137,            0.025627,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.025754,           0.0073272,                   0,             0.89346,             0.81622,             0.87895,             0.40598,             0.02463,            0.026059,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.025691,           0.0073259,                   0,             0.87837,              0.8365,             0.87809,              0.4135,            0.024446,            0.025789,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.026183,           0.0075371,                   0,             0.87522,             0.84456,             0.88998,             0.41649,            0.024734,            0.025896,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.025412,            0.007351,                   0,             0.89986,             0.85416,             0.89598,             0.41983,            0.024981,            0.025913,                   0,            0.007921,            0.007921,            0.007921
                  65,             0.02605,           0.0074935,                   0,             0.89378,              0.8638,             0.90918,             0.43389,            0.024333,            0.025598,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.025732,           0.0075127,                   0,             0.90528,             0.82369,             0.87492,             0.41157,            0.024424,            0.026519,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.025725,           0.0074309,                   0,             0.88353,              0.8461,             0.88701,             0.41141,            0.024868,             0.02574,                   0,            0.007822,            0.007822,            0.007822
