               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084401,            0.026056,                   0,          0.00022222,            0.032953,          0.00011595,          2.5986e-05,            0.071157,            0.048814,                   0,            0.070349,           0.0032946,           0.0032946
                   1,            0.062661,            0.017355,                   0,             0.21844,             0.20474,             0.12446,            0.022533,            0.055756,            0.046467,                   0,            0.040327,            0.006606,            0.006606
                   2,             0.05352,            0.013606,                   0,            0.037995,             0.23447,            0.025199,           0.0047615,            0.058569,            0.095833,                   0,            0.010283,           0.0098955,           0.0098955
                   3,            0.047595,            0.012428,                   0,             0.46777,              0.5035,             0.43195,             0.13444,            0.044381,            0.046484,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.042785,            0.011328,                   0,             0.70745,             0.62357,             0.65585,             0.22005,            0.037591,            0.049615,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.038441,            0.010941,                   0,             0.76044,             0.72243,             0.74994,             0.23949,            0.034208,            0.036278,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.036443,            0.010473,                   0,             0.83018,             0.77313,             0.81222,             0.29534,            0.029751,             0.03636,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.034359,            0.010233,                   0,             0.79967,             0.77407,             0.77755,             0.28963,            0.031244,             0.03351,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.03461,           0.0097734,                   0,             0.84129,             0.74651,             0.80873,             0.28521,            0.030157,            0.031751,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.033887,           0.0095762,                   0,             0.78804,              0.7398,             0.75394,             0.28605,            0.031994,            0.031078,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.033354,             0.00931,                   0,             0.85476,             0.76829,              0.8338,             0.35088,            0.028269,             0.03135,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.031921,           0.0090283,                   0,             0.82308,             0.76806,             0.79703,             0.33147,            0.027699,             0.02965,                   0,             0.00967,             0.00967,             0.00967
                  12,             0.03131,            0.009016,                   0,             0.83685,             0.78011,             0.81624,             0.33051,            0.027841,            0.030243,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.031279,           0.0089476,                   0,             0.85245,             0.77615,              0.8323,             0.35858,              0.0274,            0.030026,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.030755,           0.0086565,                   0,             0.84962,             0.77334,             0.81652,             0.33945,            0.028241,            0.029347,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.030493,           0.0088312,                   0,             0.87825,             0.80455,             0.86248,             0.34066,            0.028698,            0.028855,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.031053,            0.008607,                   0,             0.86336,              0.8251,             0.86731,             0.34569,             0.02822,            0.028211,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.030018,            0.008549,                   0,             0.84702,              0.8251,             0.85397,             0.37008,            0.026711,            0.028899,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.029871,           0.0082881,                   0,             0.86084,             0.80355,             0.85726,             0.37167,            0.026709,            0.028077,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.029688,           0.0085125,                   0,             0.88655,             0.81212,              0.8597,             0.37138,            0.026522,            0.027631,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.029588,           0.0084939,                   0,             0.87871,             0.82129,             0.86739,             0.36888,            0.026429,            0.027347,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.028988,           0.0082298,                   0,             0.88963,             0.79087,             0.85934,             0.36951,            0.027073,            0.027955,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.030075,            0.008139,                   0,             0.87928,             0.83082,             0.87209,             0.37497,            0.026558,            0.027741,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.028942,           0.0082352,                   0,             0.88959,             0.80101,             0.85865,              0.3768,            0.026315,            0.027723,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.028986,            0.007976,                   0,              0.8615,              0.8357,             0.86357,             0.37982,             0.02599,            0.027261,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.028312,           0.0079358,                   0,             0.89412,             0.84157,              0.8892,             0.39711,            0.025507,             0.02667,                   0,            0.009208,            0.009208,            0.009208
                  26,             0.02907,           0.0082324,                   0,             0.87524,             0.82129,             0.87213,              0.3851,            0.025712,            0.027356,                   0,            0.009175,            0.009175,            0.009175
                  27,             0.02846,           0.0080685,                   0,             0.86267,             0.83595,              0.8737,             0.38155,            0.026463,            0.026873,                   0,            0.009142,            0.009142,            0.009142
                  28,             0.02851,           0.0081611,                   0,             0.86464,             0.81772,             0.86821,             0.38209,            0.025626,             0.02789,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.028318,           0.0079506,                   0,              0.8859,             0.84632,             0.87745,             0.39168,            0.025294,            0.027709,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.027766,           0.0080869,                   0,              0.8657,             0.80608,             0.84477,             0.36866,            0.026152,            0.028561,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.027955,            0.008179,                   0,             0.90248,             0.80933,             0.88526,             0.38424,            0.026237,            0.028437,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.027974,           0.0078291,                   0,             0.86036,             0.82778,             0.86654,             0.39445,            0.025406,            0.027196,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.027584,           0.0081382,                   0,             0.90641,             0.84697,             0.90011,             0.40075,            0.025486,            0.026641,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.028381,           0.0079036,                   0,              0.8996,             0.83143,             0.88348,             0.40374,             0.02526,            0.026521,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.027528,           0.0078472,                   0,             0.89669,              0.8251,             0.89155,             0.40191,            0.025546,            0.026815,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.027556,           0.0079013,                   0,             0.88343,             0.83016,             0.88247,             0.40186,            0.025605,            0.026416,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.027398,            0.007874,                   0,             0.89188,              0.8365,             0.88444,             0.40847,            0.024911,            0.027589,                   0,            0.008812,            0.008812,            0.008812
