    50/199     3.24G   0.01601  0.002411         0   0.01842        27      1024    0.8941    0.8136    0.8689    0.3619   0.06238   0.01661         0
    51/199     3.24G   0.01586  0.002404         0   0.01826        43      1024    0.8835    0.8173    0.8714    0.3656   0.06226   0.01664         0
    52/199     3.24G   0.01663  0.002464         0    0.0191        27      1024    0.8788      0.82    0.8703    0.3794   0.06218   0.01626         0
    53/199     3.24G   0.01489  0.002385         0   0.01728        41      1024    0.8592    0.8302    0.8644    0.3705   0.06216   0.01659         0
    54/199     3.24G   0.01702  0.002444         0   0.01947        34      1024    0.8995    0.8302    0.8774    0.3638   0.06208   0.01699         0
    55/199     3.24G   0.01531  0.002283         0   0.01759        17      1024    0.8888    0.8314    0.8767     0.385   0.06199   0.01613         0
    56/199     3.24G   0.01588  0.002388         0   0.01827        20      1024    0.8841    0.8428     0.885    0.3685   0.06206   0.01633         0
    57/199     3.24G   0.01561  0.002294         0    0.0179        27      1024     0.891    0.8099    0.8669    0.3718   0.06211   0.01659         0
    58/199     3.24G    0.0174   0.00229         0   0.01969        21      1024    0.8904    0.8236    0.8757     0.378     0.062   0.01692         0
    59/199     3.24G   0.01668  0.002409         0   0.01909        22      1024    0.8808    0.8243    0.8706    0.3796   0.06201   0.01652         0
    60/199     3.24G   0.01624  0.002332         0   0.01857        16      1024    0.9149    0.7906    0.8722    0.3748   0.06195   0.01718         0
    61/199     3.24G    0.0185  0.002443         0   0.02094        26      1024    0.9191    0.8086    0.8782     0.387   0.06184   0.01689         0
    62/199     3.24G   0.01648  0.002327         0   0.01881        37      1024    0.8942    0.8251    0.8795    0.3893   0.06176   0.01596         0
    63/199     3.24G   0.01588  0.002456         0   0.01833        32      1024    0.8834    0.8314    0.8789    0.3755    0.0619   0.01642         0
    64/199     3.24G     0.016  0.002304         0   0.01831        10      1024    0.8873    0.8085    0.8703    0.3809   0.06177   0.01727         0
    65/199     3.24G   0.01714  0.002384         0   0.01952        30      1024    0.8706    0.8061    0.8681    0.3835   0.06211   0.01675         0
    66/199     3.24G   0.01592   0.00237         0   0.01829        25      1024    0.8737    0.8289    0.8759    0.3927   0.06193   0.01702         0
    67/199     3.24G   0.01588  0.002301         0   0.01818        13      1024    0.8667    0.8325     0.873     0.367   0.06216   0.01727         0
    68/199     3.24G   0.01739  0.002343         0   0.01973        16      1024    0.9008    0.8174    0.8734    0.3859   0.06202   0.01653         0
    69/199     3.24G   0.01651  0.002434         0   0.01894        31      1024    0.9026    0.8222    0.8816    0.3919   0.06168    0.0159         0
    70/199     3.24G   0.01566  0.002244         0    0.0179        47      1024    0.8639    0.8213    0.8635    0.3727   0.06186   0.01739         0
    71/199     3.24G   0.01747  0.002338         0   0.01981        40      1024    0.9224    0.7997    0.8803    0.3715   0.06207   0.01679         0
    72/199     3.24G   0.01525  0.002351         0   0.01761        27      1024    0.8978    0.8243    0.8746    0.3791   0.06187   0.01678         0
    73/199     3.24G   0.01591  0.002298         0    0.0182        19      1024     0.895    0.8099    0.8792    0.3721   0.06199   0.01663         0
    74/199     3.24G   0.01567  0.002357         0   0.01803        20      1024    0.9059    0.8297     0.884    0.3903   0.06175   0.01581         0
    75/199     3.24G   0.01605  0.002315         0   0.01836        28      1024    0.8681    0.8427    0.8835    0.3803   0.06191   0.01603         0
    76/199     3.24G   0.01498  0.002336         0   0.01731        28      1024     0.879    0.8288    0.8722    0.3812   0.06173   0.01612         0
    77/199     3.24G    0.0162  0.002328         0   0.01853        34      1024    0.8971    0.8074    0.8722    0.3813   0.06193   0.01598         0
    78/199     3.24G   0.01675  0.002373         0   0.01913        17      1024    0.8937    0.8213    0.8745    0.3907   0.06174   0.01607         0
    79/199     3.24G   0.01514  0.002411         0   0.01755        25      1024     0.906    0.7972    0.8649    0.3771   0.06184   0.01647         0
    80/199     3.24G   0.01553  0.002227         0   0.01776        21      1024    0.8878    0.8225    0.8742    0.3602   0.06202   0.01669         0
    81/199     3.24G   0.01666  0.002256         0   0.01892        21      1024    0.8825    0.8428    0.8823    0.3932   0.06177   0.01628         0
    82/199     3.24G   0.01503  0.002385         0   0.01742        24      1024    0.8837    0.8567    0.8875    0.3886   0.06182   0.01674         0
    83/199     3.24G   0.01638  0.002416         0    0.0188        17      1024    0.9219    0.8023     0.881    0.3911    0.0617   0.01595         0
    84/199     3.24G     0.017  0.002398         0    0.0194        42      1024    0.8871    0.8276    0.8854    0.3803   0.06181   0.01647         0
    85/199     3.24G   0.01493  0.002249         0   0.01717        37      1024    0.8954    0.8352      0.89    0.3854   0.06173   0.01569         0
    86/199     3.24G   0.01563  0.002313         0   0.01794        24      1024    0.9147    0.8159    0.8851    0.3926   0.06168   0.01609         0
    87/199     3.24G   0.01704  0.002345         0   0.01939        19      1024     0.921    0.8273    0.8904    0.3911   0.06157    0.0161         0
    88/199     3.24G   0.01443  0.002313         0   0.01674        34      1024    0.9061    0.8327    0.8901    0.3833   0.06182   0.01639         0
    89/199     3.24G   0.01505   0.00233         0   0.01738         8      1024    0.9003    0.8352     0.885    0.3959   0.06167   0.01589         0
    90/199     3.24G    0.0157  0.002421         0   0.01812        35      1024    0.8868    0.8454    0.8875    0.3976   0.06146   0.01602         0
    91/199     3.24G   0.01521  0.002248         0   0.01746        22      1024    0.8865    0.8238    0.8746    0.3887   0.06177   0.01593         0
    92/199     3.24G   0.01534  0.002284         0   0.01762        23      1024    0.8964     0.834    0.8852    0.3911   0.06165    0.0164         0
    93/199     3.24G   0.01535  0.002347         0   0.01769        24      1024    0.9088    0.8212     0.874    0.3898   0.06173   0.01635         0
    94/199     3.24G   0.01507  0.002276         0   0.01734        17      1024    0.8999    0.8466    0.8924       0.4   0.06152   0.01628         0
    95/199     3.24G    0.0168   0.00227         0   0.01907        28      1024     0.876    0.8415    0.8751     0.396    0.0615   0.01567         0
    96/199     3.24G   0.01528  0.002223         0    0.0175        31      1024    0.9078    0.8276    0.8916    0.3798   0.06174   0.01653         0
    97/199     3.24G   0.01515   0.00231         0   0.01746        33      1024    0.8907    0.8378    0.8753    0.3977   0.06158   0.01557         0
    98/199     3.24G   0.01677  0.002337         0   0.01911        24      1024     0.907    0.8402    0.8914     0.397   0.06159   0.01654         0
    99/199     3.24G   0.01565  0.002324         0   0.01797        28      1024    0.9249    0.8314    0.8936    0.4005   0.06155   0.01591         0
   100/199     3.24G   0.01486  0.002322         0   0.01718        40      1024      0.89    0.8517    0.8979    0.3972   0.06148   0.01554         0
   101/199     3.24G   0.01481  0.002313         0   0.01712        26      1024    0.9152    0.8504    0.8994    0.3976   0.06157   0.01586         0
   102/199     3.26G   0.01725  0.002374         0   0.01962        20      1024     0.913    0.8378    0.8913    0.3937   0.06162   0.01596         0
   103/199     3.26G   0.01597  0.002241         0   0.01821        36      1024    0.9189    0.8325    0.8959    0.3935   0.06161   0.01576         0
   104/199     3.26G   0.01715  0.002312         0   0.01947        14      1024     0.899     0.839    0.8844    0.3917    0.0617   0.01608         0
   105/199     3.26G   0.01676  0.002331         0   0.01909        22      1024    0.8956    0.8416    0.8839    0.3953   0.06169   0.01571         0
   106/199     3.26G   0.01595  0.002214         0   0.01816        20      1024    0.9144    0.8416    0.8933    0.3896   0.06161   0.01592         0
   107/199     3.26G   0.01481  0.002286         0    0.0171        23      1024    0.9097      0.83    0.8856    0.3834   0.06172   0.01631         0
   108/199     3.26G   0.01491   0.00227         0   0.01718        22      1024    0.9043    0.8403    0.8834    0.3983   0.06158   0.01588         0
   109/199     3.26G   0.01449  0.002313         0    0.0168        30      1024    0.8943    0.8276    0.8748    0.3931   0.06153   0.01548         0
   110/199     3.26G   0.01569  0.002198         0   0.01788        28      1024    0.9112    0.8197    0.8833     0.395    0.0615   0.01595         0
   111/199     3.26G   0.01624  0.002383         0   0.01862        27      1024    0.8884    0.8474    0.8837    0.3964   0.06138   0.01584         0
   112/199     3.26G   0.01499  0.002275         0   0.01726        32      1024    0.8886    0.8606    0.8926    0.4041   0.06148   0.01601         0
   113/199     3.26G   0.01653  0.002304         0   0.01883        19      1024    0.9297    0.8211    0.8925    0.3968   0.06158    0.0164         0
   114/199     3.26G   0.01369  0.002231         0   0.01593        15      1024    0.9161    0.8454    0.8902    0.4021   0.06149   0.01575         0
   115/199     3.26G    0.0149  0.002246         0   0.01715        23      1024    0.9199    0.8302    0.8958    0.4031    0.0614   0.01597         0
   116/199     3.26G   0.01455  0.002249         0    0.0168        19      1024    0.8746    0.8669    0.8928    0.3993   0.06154   0.01572         0
   117/199     3.26G   0.01468  0.002247         0   0.01692        24      1024    0.9158    0.8428    0.8986    0.3899   0.06147   0.01608         0
   118/199     3.26G   0.01593  0.002262         0    0.0182        27      1024    0.9122    0.8426    0.8961    0.3957   0.06146   0.01609         0
   119/199     3.26G   0.01596  0.002282         0   0.01824        32      1024     0.909    0.8606     0.905    0.3944   0.06139   0.01592         0
   120/199     3.26G    0.0159  0.002184         0   0.01808        34      1024    0.8914    0.8427    0.8864    0.3836   0.06159   0.01626         0
   121/199     3.26G   0.01541  0.002276         0   0.01769        46      1024    0.9064    0.8606    0.8968    0.4036   0.06144   0.01585         0
   122/199     3.26G   0.01497  0.002264         0   0.01723        12      1024    0.9114    0.8339    0.8941    0.4025   0.06141   0.01598         0
   123/199     3.26G   0.01721  0.002237         0   0.01944        23      1024    0.9184    0.8314    0.8938    0.3917   0.06149   0.01571         0
   124/199     3.26G   0.01434  0.002343         0   0.01668        17      1024    0.9007     0.839    0.8886    0.4063   0.06142   0.01586         0
   125/199     3.26G    0.0158  0.002202         0     0.018        28      1024    0.9141    0.8365    0.8954    0.3991   0.06132   0.01562         0
   126/199     3.26G    0.0174  0.002219         0   0.01962        26      1024    0.8952    0.8352    0.8878    0.4034   0.06132   0.01582         0
   127/199     3.26G   0.01441  0.002186         0   0.01659        30      1024    0.8989    0.8454    0.8933    0.4078   0.06124   0.01599         0
   128/199     3.26G   0.01657  0.002205         0   0.01877        22      1024     0.906    0.8427    0.8932    0.4061   0.06121   0.01586         0
   129/199     3.26G   0.01691  0.002285         0    0.0192        35      1024    0.9025    0.8567     0.902    0.3999   0.06135   0.01571         0
   130/199     3.26G   0.01422  0.002327         0   0.01655        40      1024     0.895    0.8642    0.9026    0.4031   0.06138   0.01582         0
   131/199     3.26G   0.01473  0.002366         0   0.01709        19      1024    0.8836    0.8682    0.9007    0.4016   0.06133   0.01579         0
   132/199     3.26G   0.01574  0.002359         0    0.0181        40      1024    0.9177     0.834    0.8982    0.4059   0.06131    0.0155         0
   133/199     3.26G   0.01516  0.002302         0   0.01746        31      1024    0.8978    0.8466    0.8973    0.4036   0.06138   0.01576         0
   134/199     3.26G   0.01523  0.002267         0    0.0175        36      1024    0.9151    0.8466    0.8982    0.4075   0.06124   0.01568         0
   135/199     3.26G   0.01516  0.002297         0   0.01746        35      1024    0.8875    0.8517    0.8919    0.3993   0.06136   0.01616         0
   136/199     3.26G   0.01654  0.002284         0   0.01883        32      1024    0.8932    0.8477    0.8896    0.4104   0.06132   0.01555         0
   137/199     3.26G   0.01399  0.002281         0   0.01627        17      1024      0.91    0.8462    0.8934    0.4114   0.06127   0.01564         0
   138/199     3.26G   0.01498   0.00221         0   0.01719        15      1024    0.9075    0.8453    0.9023     0.401   0.06133   0.01592         0
   139/199     3.26G   0.01483  0.002294         0   0.01712        30      1024    0.9122    0.8314    0.8987    0.3972   0.06133   0.01619         0
   140/199     3.26G   0.01586  0.002306         0   0.01817        27      1024    0.9057    0.8416    0.8965    0.4053   0.06122   0.01586         0
   141/199     3.26G   0.01625   0.00216         0   0.01841        23      1024    0.8899    0.8603    0.8979    0.3967   0.06137   0.01612         0
   142/199     3.26G   0.01547  0.002281         0   0.01775        20      1024    0.8955    0.8479    0.8918    0.4025   0.06138    0.0161         0
   143/199     3.26G   0.01483  0.002217         0   0.01705        27      1024     0.919    0.8504    0.9047    0.4013   0.06128   0.01565         0
   144/199     3.26G   0.01477   0.00222         0   0.01699        18      1024    0.9159    0.8479    0.9013    0.4102   0.06114   0.01561         0
   145/199     3.26G   0.01372   0.00224         0   0.01597        23      1024    0.9304    0.8299     0.902    0.4104   0.06112   0.01555         0
   146/199     3.26G   0.01563  0.002189         0   0.01782        28      1024    0.9021     0.841    0.8961    0.4081   0.06115   0.01577         0
   147/199     3.26G   0.01604  0.002198         0   0.01824        39      1024    0.8939    0.8542    0.9006    0.4073   0.06121   0.01593         0
   148/199     3.26G   0.01545   0.00234         0   0.01779        33      1024    0.9079    0.8517    0.9042     0.411   0.06124   0.01577         0
   149/199     3.26G   0.01449  0.002319         0   0.01681        30      1024    0.9131    0.8389    0.9004    0.4102   0.06118   0.01583         0
   150/199     3.26G   0.01399  0.002247         0   0.01624        25      1024    0.8996     0.853    0.8986    0.4044   0.06122   0.01607         0
   151/199     3.26G   0.01507  0.002248         0   0.01732        13      1024     0.906    0.8427    0.8983    0.4012   0.06128   0.01598         0
   152/199     3.26G   0.01422  0.002143         0   0.01636        24      1024    0.8987    0.8541    0.9022    0.3986   0.06131   0.01584         0
   153/199     3.26G   0.01535  0.002252         0    0.0176        24      1024    0.9052    0.8591    0.9058      0.41   0.06118   0.01602         0
   154/199     3.26G    0.0156  0.002232         0   0.01784        13      1024    0.9137     0.845    0.8998    0.4043   0.06117   0.01577         0
   155/199     3.26G   0.01572    0.0021         0   0.01782        21      1024    0.9137    0.8593    0.9063    0.4065   0.06121   0.01556         0
   156/199     3.26G   0.01393  0.002162         0   0.01609        14      1024    0.9174    0.8517    0.9031    0.4038   0.06119    0.0159         0
   157/199     3.26G   0.01482  0.002254         0   0.01707        13      1024    0.9072    0.8555    0.9071    0.4041   0.06123   0.01578         0
   158/199     3.26G   0.01643  0.002092         0   0.01852        26      1024    0.8867    0.8831     0.913    0.4089   0.06119   0.01557         0
   159/199     3.26G   0.01443  0.002154         0   0.01658        43      1024    0.9098    0.8568    0.9067    0.4151    0.0611    0.0156         0
   160/199     3.26G   0.01463  0.002282         0   0.01691        24      1024    0.9147    0.8466    0.9032    0.4106   0.06114   0.01585         0
   161/199     3.26G   0.01438  0.002181         0   0.01656        16      1024    0.9085    0.8552    0.9023    0.4049   0.06115   0.01608         0
   162/199     3.26G   0.01367  0.002229         0    0.0159        15      1024    0.9214    0.8465    0.9076    0.4101   0.06111   0.01591         0
   163/199     3.26G   0.01463  0.002197         0   0.01683        22      1024    0.9035    0.8667     0.912    0.4123    0.0611   0.01569         0
   164/199     3.26G   0.01423  0.002206         0   0.01643        35      1024    0.9044    0.8644     0.904    0.4137    0.0611   0.01573         0
   165/199     3.26G   0.01484  0.002187         0   0.01703        21      1024    0.9116    0.8644     0.908    0.4146   0.06113    0.0157         0
   166/199     3.26G   0.01485  0.002311         0   0.01716        34      1024    0.9109    0.8555    0.9018    0.4088   0.06117   0.01557         0
   167/199     3.26G   0.01571  0.002254         0   0.01796        28      1024    0.9054    0.8504    0.9019    0.4104   0.06123   0.01575         0
   168/199     3.26G   0.01604   0.00224         0   0.01828        26      1024    0.9008    0.8631    0.9051    0.4099   0.06116    0.0157         0
   169/199     3.26G    0.0149  0.002214         0   0.01711        20      1024     0.932    0.8339    0.8975    0.4105    0.0612   0.01557         0
   170/199     3.26G   0.01718  0.002266         0   0.01945        24      1024    0.8985    0.8643    0.9008     0.415   0.06112    0.0157         0
   171/199     3.26G   0.01508  0.002233         0   0.01731        19      1024    0.8909    0.8794    0.9017    0.4121   0.06114   0.01574         0
   172/199     3.26G   0.01555   0.00222         0   0.01777        20      1024    0.8965    0.8783    0.9071    0.4152   0.06109   0.01581         0
   173/199     3.26G   0.01426  0.002216         0   0.01647        11      1024    0.9288    0.8437    0.9048    0.4118   0.06114   0.01556         0
   174/199     3.26G   0.01412  0.002234         0   0.01636        24      1024    0.9083    0.8542    0.9049    0.4129   0.06108   0.01562         0
   175/199     3.26G   0.01398  0.002176         0   0.01615        30      1024     0.898    0.8705    0.9045    0.4128   0.06113   0.01546         0
   176/199     3.26G   0.01599   0.00217         0   0.01816        17      1024    0.8829    0.8796     0.903    0.4113   0.06108   0.01583         0
