               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083744,            0.026118,                   0,          0.00065812,            0.097592,          0.00036167,           9.842e-05,            0.066547,            0.055366,                   0,            0.070349,           0.0032946,           0.0032946
                   1,             0.06101,            0.017561,                   0,             0.13288,             0.21673,            0.063665,            0.012458,            0.057761,            0.048362,                   0,            0.040327,            0.006606,            0.006606
                   2,            0.053895,            0.013025,                   0,             0.41946,             0.44106,             0.35749,             0.10153,            0.052116,            0.040506,                   0,            0.010283,           0.0098955,           0.0098955
                   3,            0.047378,            0.011842,                   0,             0.43489,             0.53866,              0.4107,             0.13356,            0.037902,            0.042535,                   0,            0.009901,            0.009901,            0.009901
                   4,             0.04193,            0.011574,                   0,             0.71899,             0.68061,             0.68615,             0.24988,            0.036923,            0.037925,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.038648,            0.010606,                   0,             0.61266,             0.63878,             0.56269,             0.15764,             0.03529,            0.037618,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.036704,            0.010332,                   0,             0.77982,             0.71824,             0.74577,             0.24393,            0.031842,            0.035636,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.034952,           0.0099944,                   0,             0.79556,             0.76299,             0.77863,             0.30765,            0.028829,            0.034245,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.033581,           0.0096446,                   0,             0.84945,             0.80095,             0.84885,             0.32469,            0.029708,            0.030971,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.033189,           0.0093378,                   0,             0.79578,             0.73764,             0.73305,             0.25814,            0.032876,             0.02961,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.032438,            0.009177,                   0,             0.78676,             0.74818,             0.78119,             0.31099,            0.029542,            0.031705,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.032344,            0.008788,                   0,             0.85171,             0.76437,             0.82051,             0.33214,            0.028447,            0.028752,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.031164,           0.0088705,                   0,             0.84607,             0.81369,             0.83961,             0.32852,            0.028245,            0.029223,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.030944,           0.0087596,                   0,             0.84959,             0.80185,             0.84377,             0.34893,            0.027382,            0.028468,                   0,            0.009604,            0.009604,            0.009604
                  14,             0.03088,            0.008576,                   0,             0.82992,             0.81016,             0.82965,             0.35348,            0.027567,            0.030846,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.030636,           0.0087079,                   0,             0.87091,             0.81242,             0.86024,             0.36458,            0.027552,            0.028023,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.031041,             0.00856,                   0,             0.86403,             0.81242,             0.85808,             0.36571,            0.026191,            0.027696,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.029889,           0.0084794,                   0,             0.85626,             0.80033,             0.84724,             0.36781,            0.026534,            0.028763,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.029605,           0.0081693,                   0,             0.84495,             0.80482,             0.85161,             0.36518,            0.028119,            0.028066,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.029728,           0.0083818,                   0,             0.89516,             0.82244,             0.87971,             0.38127,            0.025952,            0.027425,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.029463,           0.0084773,                   0,              0.8751,              0.8251,             0.86354,             0.37138,            0.026425,            0.027739,                   0,            0.009373,            0.009373,            0.009373
