               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.027828,           0.0079022,                   0,             0.90537,             0.84879,             0.88485,             0.41421,            0.024465,            0.025955,                   0,            0.008746,            0.008746,            0.008746
                  40,             0.02709,           0.0077041,                   0,             0.86599,             0.84284,              0.8921,             0.40534,             0.02507,            0.026095,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.027308,           0.0077345,                   0,             0.90499,             0.85044,             0.89511,             0.41061,            0.024684,            0.026154,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.027351,            0.007799,                   0,             0.85143,             0.83523,             0.85238,             0.38894,              0.0258,            0.026307,                   0,            0.008647,            0.008647,            0.008647
                  43,             0.02698,            0.007724,                   0,             0.87575,             0.84869,               0.885,             0.40993,            0.024834,            0.026017,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.027305,           0.0076771,                   0,             0.90136,             0.83388,             0.88313,              0.4127,            0.024951,            0.025764,                   0,            0.008581,            0.008581,            0.008581
                  45,             0.02679,           0.0076436,                   0,             0.87716,             0.84169,             0.87894,             0.40441,            0.024688,            0.026336,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.026477,            0.007552,                   0,             0.89443,             0.83904,             0.89079,             0.40409,            0.024956,            0.026175,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.026372,           0.0074958,                   0,             0.87251,             0.85298,             0.88691,             0.40937,            0.024546,             0.02578,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.027027,           0.0075406,                   0,             0.88207,              0.8365,             0.88025,             0.41761,             0.02492,            0.026162,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.025976,           0.0075006,                   0,             0.86256,             0.85905,             0.88021,             0.41871,            0.024472,            0.025732,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.026703,           0.0075725,                   0,             0.88043,             0.85298,             0.89057,             0.41993,            0.024317,            0.025794,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.026493,           0.0076914,                   0,             0.89703,             0.83904,             0.88255,             0.40731,            0.024811,            0.026658,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.026359,           0.0075033,                   0,             0.87391,             0.84326,             0.88397,              0.4152,            0.024406,            0.026201,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.026143,           0.0074322,                   0,             0.87668,             0.86946,             0.90036,              0.4059,            0.025295,            0.026212,                   0,            0.008284,            0.008284,            0.008284
                  54,             0.02627,           0.0075897,                   0,             0.91027,             0.85298,             0.90245,             0.41681,            0.024451,             0.02559,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.026612,           0.0075692,                   0,             0.87225,             0.85171,              0.8959,             0.40965,            0.025081,            0.025731,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.026072,           0.0075262,                   0,             0.90103,             0.86312,             0.90755,             0.42611,            0.024417,            0.025231,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.025537,           0.0073001,                   0,              0.8939,             0.85678,             0.89605,              0.4151,            0.024524,            0.025731,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.025888,            0.007509,                   0,             0.90087,             0.85238,             0.89416,             0.41537,            0.024348,            0.026145,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.025594,           0.0074931,                   0,             0.88759,             0.86066,             0.90392,             0.40791,            0.025167,            0.026173,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.025595,           0.0074696,                   0,             0.90092,             0.85171,             0.90943,             0.42264,            0.024151,            0.025777,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.025579,           0.0073053,                   0,             0.86196,             0.83889,             0.85967,             0.40197,            0.024683,            0.026311,                   0,             0.00802,             0.00802,             0.00802
                  62,             0.02596,           0.0073641,                   0,             0.90327,             0.82845,             0.89637,             0.40919,            0.024596,            0.025846,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.025977,           0.0074789,                   0,             0.89764,             0.82383,             0.89163,             0.41957,            0.024477,            0.025688,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.025186,           0.0072334,                   0,             0.90706,             0.82878,             0.89038,             0.42102,            0.024297,            0.025624,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.025835,           0.0074164,                   0,             0.88159,             0.86816,             0.89121,             0.41678,            0.024673,            0.025603,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.025453,           0.0073975,                   0,             0.88692,             0.86058,             0.89503,             0.40987,            0.024661,            0.025703,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.025369,           0.0073706,                   0,             0.88892,             0.85195,             0.89237,             0.40347,            0.025079,            0.026114,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.025355,           0.0074305,                   0,             0.89714,             0.82904,             0.88988,              0.4048,            0.025243,             0.02616,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.025487,           0.0073384,                   0,             0.89889,             0.82383,             0.89766,             0.42047,            0.024765,            0.025486,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.024911,           0.0072036,                   0,             0.90845,             0.84157,             0.89147,             0.41839,            0.024681,            0.025777,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.024979,           0.0073765,                   0,             0.87768,             0.84284,             0.88619,             0.41972,            0.024427,            0.025909,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.024994,           0.0071668,                   0,             0.87085,             0.86312,             0.89256,             0.41006,            0.025012,            0.025819,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.024737,           0.0072601,                   0,              0.8668,             0.85778,             0.88851,             0.41348,            0.024345,            0.025973,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.025034,           0.0071857,                   0,             0.88101,             0.84157,             0.87883,             0.41233,            0.024539,            0.026002,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.025257,           0.0072736,                   0,             0.88941,             0.83586,             0.88097,             0.40476,            0.024834,            0.026042,                   0,            0.007558,            0.007558,            0.007558
                  76,             0.02463,           0.0072831,                   0,             0.87781,             0.84681,             0.88502,             0.41821,            0.024727,            0.025413,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.025035,           0.0072759,                   0,             0.89313,             0.86058,             0.88803,             0.40473,            0.025074,            0.026119,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.024916,           0.0071897,                   0,             0.89201,             0.83904,             0.89017,             0.42488,            0.024473,            0.025949,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.024709,           0.0071371,                   0,             0.87476,             0.85551,             0.89139,             0.41489,              0.0249,             0.02606,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.025114,           0.0073476,                   0,             0.87729,             0.85298,             0.88741,              0.4089,            0.024727,            0.026135,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.024677,           0.0071712,                   0,             0.87986,             0.84918,             0.87745,              0.4104,            0.024832,            0.026352,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.024484,           0.0073188,                   0,             0.87506,             0.84331,             0.88234,             0.41356,            0.024742,             0.02595,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.025459,            0.007217,                   0,             0.87494,             0.87787,             0.90362,             0.41796,            0.024786,            0.025132,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.024627,           0.0072139,                   0,             0.89845,             0.85298,             0.89632,             0.41924,            0.024616,            0.025721,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.024302,           0.0070189,                   0,              0.9116,             0.84957,             0.90507,             0.41758,            0.024366,            0.025741,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.025014,           0.0072209,                   0,             0.88708,             0.83638,             0.88779,             0.41291,            0.024433,            0.026137,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.024695,           0.0071793,                   0,             0.87392,             0.84918,             0.88984,             0.41605,            0.024769,            0.025941,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.024141,           0.0072289,                   0,             0.89439,             0.83904,             0.88435,             0.42015,            0.024632,            0.026331,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.025301,           0.0069612,                   0,             0.89623,             0.84537,              0.8936,             0.42431,             0.02452,            0.025494,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.024149,           0.0070641,                   0,             0.86685,             0.86643,              0.8809,             0.41281,            0.024826,            0.025223,                   0,            0.007063,            0.007063,            0.007063
                  91,             0.02434,           0.0069013,                   0,             0.87021,             0.84791,             0.88093,             0.41675,            0.024551,            0.026159,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.024549,           0.0069964,                   0,             0.88259,             0.84537,             0.87899,             0.41309,             0.02506,            0.025549,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.024165,           0.0071114,                   0,             0.89086,             0.86058,             0.89567,             0.41624,            0.024512,            0.025873,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.024558,           0.0069859,                   0,             0.88666,             0.86058,             0.89825,             0.42619,            0.024415,            0.025522,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.023901,           0.0070373,                   0,             0.89085,              0.8403,             0.88673,             0.42032,            0.024502,            0.025601,                   0,            0.006898,            0.006898,            0.006898
                  96,             0.02379,           0.0069441,                   0,               0.899,             0.83487,             0.90452,             0.42305,            0.024983,             0.02553,                   0,            0.006865,            0.006865,            0.006865
                  97,             0.02411,           0.0071383,                   0,             0.88624,             0.84919,             0.89083,             0.41714,              0.0248,            0.025346,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.023907,           0.0069728,                   0,             0.86937,             0.83503,             0.86774,             0.40572,            0.024581,            0.026578,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.024031,           0.0070845,                   0,             0.90448,             0.84284,             0.88931,             0.41883,            0.024576,            0.025651,                   0,            0.006766,            0.006766,            0.006766
                 100,             0.02398,           0.0069611,                   0,             0.87495,             0.87833,             0.90474,             0.41783,            0.024738,            0.025497,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.023472,           0.0070775,                   0,             0.86591,             0.86754,             0.88304,             0.41922,            0.024788,            0.025424,                   0,              0.0067,              0.0067,              0.0067
                 102,             0.02395,           0.0070879,                   0,             0.87396,             0.85425,             0.88675,              0.4252,            0.024232,            0.025446,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.023549,           0.0070669,                   0,              0.8628,             0.86878,             0.88729,             0.42132,            0.024313,            0.025966,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.023459,           0.0069382,                   0,             0.92328,             0.85412,             0.90933,             0.42595,            0.024423,            0.025351,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.023242,           0.0068819,                   0,             0.88826,             0.84632,             0.88888,             0.42907,            0.024216,            0.025356,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.023585,           0.0067981,                   0,             0.91056,              0.8516,             0.89928,             0.42203,            0.024469,            0.025599,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.023658,           0.0069711,                   0,             0.90289,             0.84846,             0.90155,              0.4222,            0.024534,            0.025696,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.023288,            0.006787,                   0,             0.88172,             0.86058,             0.88996,             0.42956,            0.024528,            0.025517,                   0,            0.006469,            0.006469,            0.006469
                 109,             0.02358,           0.0067082,                   0,             0.87578,             0.86946,              0.8888,             0.40736,            0.025039,            0.025929,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.023231,           0.0068858,                   0,             0.90722,             0.85551,             0.90959,             0.42337,            0.024694,            0.025473,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.023947,           0.0067523,                   0,             0.89001,              0.8615,             0.90604,              0.4266,            0.024378,            0.025264,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.023088,           0.0069152,                   0,             0.89489,             0.86946,             0.90656,             0.42589,            0.024457,            0.025722,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.023392,           0.0068049,                   0,             0.90018,             0.86865,             0.90653,             0.41161,            0.025136,            0.025921,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.023207,           0.0069168,                   0,             0.88146,             0.84664,             0.88255,             0.42379,            0.024785,             0.02554,                   0,            0.006271,            0.006271,            0.006271
                 115,             0.02308,           0.0068656,                   0,             0.88183,             0.85044,             0.89104,             0.42969,            0.024559,            0.025564,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.023047,           0.0067064,                   0,             0.89727,             0.84664,             0.88624,             0.41303,            0.024605,            0.025589,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.023053,           0.0068189,                   0,             0.90218,             0.84537,              0.8944,             0.42663,            0.024425,            0.025687,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.022681,           0.0068692,                   0,             0.87474,             0.86058,             0.89439,             0.42263,            0.024416,            0.025641,                   0,            0.006139,            0.006139,            0.006139
                 119,             0.02309,           0.0068609,                   0,             0.88358,             0.87537,             0.89786,             0.42753,            0.024413,            0.025557,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.023105,           0.0066898,                   0,             0.91474,              0.8289,             0.89185,             0.42582,            0.024244,            0.025657,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.022612,           0.0067305,                   0,             0.90131,             0.83344,             0.88909,             0.41763,            0.024288,            0.026099,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.022852,           0.0067978,                   0,             0.89223,             0.83904,              0.8945,             0.42435,            0.024355,            0.025492,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.022868,           0.0067244,                   0,             0.90211,             0.84096,             0.88746,             0.42634,            0.024738,            0.025731,                   0,            0.005974,            0.005974,            0.005974
