               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0849,            0.025952,                   0,          0.00047863,            0.070976,          0.00026317,          6.1421e-05,            0.070838,            0.048801,                   0,            0.070349,           0.0032946,           0.0032946
                   1,             0.06412,            0.016936,                   0,             0.28409,             0.20913,             0.13844,            0.031721,            0.059783,             0.04889,                   0,            0.040327,            0.006606,            0.006606
                   2,            0.054308,            0.013532,                   0,             0.25969,             0.51584,              0.2306,            0.049936,            0.050569,            0.059834,                   0,            0.010283,           0.0098955,           0.0098955
                   3,            0.046694,            0.012854,                   0,             0.51322,              0.6185,             0.49514,             0.15546,            0.039198,            0.041912,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.041733,            0.011337,                   0,             0.61685,             0.60076,             0.55151,             0.17073,            0.034974,            0.037891,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.038668,            0.010731,                   0,             0.71405,             0.66033,             0.66023,             0.19546,            0.035822,            0.034896,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.036659,            0.010422,                   0,             0.80943,             0.78057,             0.80713,              0.3148,            0.031864,            0.034424,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.035321,            0.010082,                   0,             0.82693,             0.76679,              0.8096,             0.30562,             0.03146,            0.032716,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.033985,           0.0096579,                   0,             0.80563,             0.73018,             0.78235,             0.26554,            0.030552,            0.032696,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.033833,           0.0093075,                   0,             0.79474,             0.74144,             0.76041,             0.27701,            0.031618,            0.030779,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.033354,           0.0091582,                   0,             0.79534,             0.77331,             0.80162,             0.34534,            0.028752,            0.031837,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.031714,           0.0089017,                   0,             0.80177,             0.75032,             0.77573,             0.31663,            0.028361,            0.029968,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.031538,           0.0088747,                   0,             0.80798,             0.79468,             0.80925,             0.33841,            0.028475,            0.030338,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.031341,           0.0088193,                   0,             0.84863,             0.82426,             0.84825,             0.37042,            0.027127,            0.028616,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.030147,           0.0085589,                   0,             0.86261,             0.80482,             0.84008,             0.34703,            0.028365,            0.028351,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.030615,           0.0087497,                   0,             0.86197,             0.81369,             0.86629,             0.35792,             0.02708,            0.028539,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.031362,           0.0086119,                   0,             0.85862,             0.80482,             0.84856,             0.35404,            0.026857,             0.02919,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.029807,           0.0085657,                   0,             0.85079,             0.81663,             0.86618,             0.37392,            0.026496,            0.030332,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.030231,           0.0082724,                   0,             0.85046,             0.81749,             0.84249,             0.34944,             0.02747,            0.028213,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.029653,           0.0084382,                   0,             0.88645,             0.83116,              0.8798,             0.37842,            0.026679,            0.027918,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.029577,           0.0085091,                   0,             0.84982,             0.83193,             0.86398,             0.37009,            0.026081,              0.0286,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.029004,           0.0082069,                   0,             0.87739,             0.80718,             0.85423,             0.37014,            0.026018,            0.028764,                   0,             0.00934,             0.00934,             0.00934
                  22,             0.02999,            0.008101,                   0,              0.8623,             0.84134,             0.86581,             0.36993,            0.026528,            0.027724,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.028556,           0.0081745,                   0,             0.89852,             0.79721,             0.86907,             0.38499,            0.026511,            0.027548,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.028632,           0.0079055,                   0,              0.8772,             0.83291,             0.86891,              0.3807,            0.026034,             0.02771,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.028501,            0.007958,                   0,             0.88121,             0.83904,             0.87634,             0.39595,            0.025748,            0.026628,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.029126,           0.0081222,                   0,             0.91752,             0.84157,             0.90238,             0.39497,            0.026155,            0.027555,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.028263,           0.0080341,                   0,             0.89272,             0.83322,             0.88205,             0.38478,            0.026213,            0.026768,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.028528,           0.0081058,                   0,             0.86026,             0.82003,             0.85668,             0.38177,            0.025941,            0.027502,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.028204,           0.0079901,                   0,             0.90171,             0.82553,             0.88435,             0.40216,            0.025535,            0.027019,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.028034,           0.0080628,                   0,             0.85951,             0.80639,             0.85628,             0.39061,            0.025681,            0.027597,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.027827,           0.0081254,                   0,             0.88609,             0.82818,             0.87934,             0.39042,            0.025573,            0.027516,                   0,             0.00901,             0.00901,             0.00901
